name,csv_id,compound_id,protein_a_name,protein_b_name,total_aa,n_protein_a_chains,n_protein_b_chains,total_chains,mg_asym_id,moa_type,af3_ranking_score,af3_mg_chain_iptm
mgtbind_2608,2608,2541,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.625372506,0.68
mgtbind_2609,2609,2542,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.614234542,0.67
mgtbind_2610,2610,2543,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.503582181,0.53
mgtbind_2611,2611,2544,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.683253363,0.76
mgtbind_2612,2612,2545,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.638517298,0.68
mgtbind_2613,2613,2546,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.653887801,0.71
mgtbind_2614,2614,2547,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.602477424,0.65
mgtbind_2615,2615,2548,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.626025745,0.68
mgtbind_2616,2616,2549,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.519211058,0.54
mgtbind_2617,2617,2550,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.600439368,0.65
mgtbind_2618,2618,2551,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.598867499,0.64
mgtbind_2619,2619,2552,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.61316374,0.66
mgtbind_2620,2620,2553,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.670395781,0.73
mgtbind_2621,2621,2554,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.532370672,0.57
mgtbind_2622,2622,2555,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.506755157,0.53
mgtbind_2623,2623,2556,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.503526536,0.52
mgtbind_2624,2624,2557,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.685851753,0.78
mgtbind_2625,2625,2558,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.644815157,0.71
mgtbind_2626,2626,2559,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.619206937,0.67
mgtbind_2627,2627,2560,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.629736495,0.67
mgtbind_2628,2628,2561,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.521228618,0.55
mgtbind_2629,2629,2562,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.694765103,0.76
mgtbind_2630,2630,2563,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.582337697,0.62
mgtbind_2631,2631,2564,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.503904368,0.52
mgtbind_2632,2632,2565,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.705719591,0.78
mgtbind_2633,2633,2566,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.569653777,0.62
mgtbind_2634,2634,2567,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.619946207,0.67
mgtbind_2635,2635,2568,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.62497905,0.7
mgtbind_2636,2636,2569,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.596781545,0.65
mgtbind_2637,2637,2570,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.488921072,0.53
mgtbind_2638,2638,2571,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.497633723,0.52
mgtbind_2639,2639,2572,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.463144882,0.5
mgtbind_2640,2640,2573,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.459117665,0.51
mgtbind_2641,2641,2574,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.450469287,0.5
mgtbind_2642,2642,2575,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.589482853,0.64
mgtbind_2643,2643,2576,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.59639112,0.64
mgtbind_2644,2644,2577,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.593167918,0.64
mgtbind_2645,2645,2578,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.466854553,0.52
mgtbind_2646,2646,2579,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.674152758,0.74
mgtbind_2647,2647,2580,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.649276425,0.72
mgtbind_2648,2648,2581,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.61164957,0.65
mgtbind_2649,2649,2582,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.466213629,0.5
mgtbind_2650,2650,2583,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.625131662,0.68
mgtbind_2651,2651,2584,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.519483558,0.55
mgtbind_2652,2652,2585,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.685318176,0.74
mgtbind_2653,2653,2586,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.605096107,0.65
mgtbind_2654,2654,2587,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.654187934,0.72
mgtbind_2655,2655,2588,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.610274073,0.65
mgtbind_2656,2656,2589,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.61421131,0.66
mgtbind_2657,2657,2590,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.526363156,0.57
mgtbind_2658,2658,2591,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.665199695,0.73
mgtbind_2659,2659,2592,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.680798589,0.75
mgtbind_2660,2660,2593,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.708681561,0.77
mgtbind_2661,2661,2594,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.640623983,0.69
mgtbind_2662,2662,2595,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.673512087,0.73
mgtbind_2663,2663,2596,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.710619717,0.79
mgtbind_2664,2664,2597,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.619207195,0.66
mgtbind_2665,2665,2598,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.623797962,0.67
mgtbind_2666,2666,2599,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.672332412,0.74
mgtbind_2667,2667,2600,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.625048031,0.67
mgtbind_2668,2668,2601,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.667592357,0.72
mgtbind_2669,2669,2602,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.704073996,0.76
mgtbind_2670,2670,2603,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.611637004,0.67
mgtbind_2671,2671,2604,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.68783925,0.77
mgtbind_2672,2672,2605,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.65864762,0.71
mgtbind_2673,2673,2606,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.700232412,0.78
mgtbind_2674,2674,2607,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.64536247,0.72
mgtbind_2675,2675,2608,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.489318894,0.51
mgtbind_2676,2676,2609,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.681160054,0.77
mgtbind_2677,2677,2610,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.648326696,0.71
mgtbind_2678,2678,2611,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.580541894,0.63
mgtbind_2679,2679,2612,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.617991037,0.68
mgtbind_2680,2680,2613,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.566741821,0.64
mgtbind_2681,2681,2614,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.621220687,0.67
mgtbind_2682,2682,2615,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.50285569,0.53
mgtbind_2683,2683,2616,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.643910544,0.71
mgtbind_2684,2684,2617,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.633228822,0.71
mgtbind_2685,2685,2618,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.604916259,0.66
mgtbind_2686,2686,2619,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.605298697,0.66
mgtbind_2687,2687,2620,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.552533001,0.6
mgtbind_2688,2688,2621,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.522325345,0.55
mgtbind_2689,2689,2622,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.580055531,0.63
mgtbind_2690,2690,2623,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.606136427,0.65
mgtbind_2691,2691,2624,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.637457401,0.7
mgtbind_2692,2692,2625,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.563452657,0.61
mgtbind_2693,2693,2626,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.581946061,0.63
mgtbind_2694,2694,2627,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.54348567,0.58
mgtbind_2695,2695,2628,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.604178747,0.65
mgtbind_2696,2696,2629,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.527005974,0.55
mgtbind_2697,2697,2630,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.598881349,0.64
mgtbind_2698,2698,2631,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.595023922,0.62
mgtbind_2699,2699,2632,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.498356118,0.52
mgtbind_2700,2700,2633,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.479622988,0.51
mgtbind_2701,2701,2634,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.580674225,0.64
mgtbind_2702,2702,2635,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.554867952,0.59
mgtbind_2703,2703,2636,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.591198735,0.61
mgtbind_2704,2704,2637,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.581599805,0.63
mgtbind_2705,2705,2638,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.545362588,0.59
mgtbind_2706,2706,2639,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.563586412,0.62
mgtbind_2707,2707,2640,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.62355595,0.7
mgtbind_2708,2708,2641,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.66573071,0.73
mgtbind_2709,2709,2642,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.516441296,0.54
mgtbind_4734,4734,2555,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.51744512,0.56
mgtbind_4735,4735,2555,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.507575482,0.54
mgtbind_4736,4736,2556,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.523254309,0.59
mgtbind_4737,4737,2556,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.509228209,0.55
mgtbind_4738,4738,2557,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.691839473,0.78
mgtbind_4739,4739,2557,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.696632189,0.8
mgtbind_4740,4740,2558,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.687384455,0.75
mgtbind_4741,4741,2558,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.673878174,0.75
mgtbind_4742,4742,2559,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.607154573,0.66
mgtbind_4743,4743,2559,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.623355449,0.68
mgtbind_4744,4744,2560,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.636118202,0.69
mgtbind_4745,4745,2560,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.621477592,0.67
mgtbind_4746,4746,2561,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.549611771,0.62
mgtbind_4747,4747,2561,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.526000224,0.56
mgtbind_4748,4748,2562,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.690272873,0.75
mgtbind_4749,4749,2562,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.744390405,0.8
mgtbind_4750,4750,2563,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.599360844,0.64
mgtbind_4751,4751,2563,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.593628484,0.63
mgtbind_4752,4752,2564,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.516039121,0.58
mgtbind_4753,4753,2564,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.498050452,0.52
mgtbind_4754,4754,2565,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.679389387,0.77
mgtbind_4755,4755,2565,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.678315356,0.76
mgtbind_4756,4756,2566,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.585827827,0.64
mgtbind_4757,4757,2566,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.507711276,0.53
mgtbind_4758,4758,2567,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.604600176,0.65
mgtbind_4759,4759,2567,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.616035331,0.67
mgtbind_4760,4760,2568,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.624252081,0.69
mgtbind_4761,4761,2568,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.617667505,0.68
mgtbind_4762,4762,2528,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.675571394,0.74
mgtbind_4763,4763,2528,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.706070723,0.78
mgtbind_4764,4764,2529,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.614322619,0.68
mgtbind_4765,4765,2529,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.573904637,0.62
mgtbind_4766,4766,2530,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.666586934,0.73
mgtbind_4767,4767,2530,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.64105195,0.69
mgtbind_4768,4768,2531,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.588489026,0.65
mgtbind_4769,4769,2531,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.552642603,0.61
mgtbind_4770,4770,2532,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.669085832,0.73
mgtbind_4771,4771,2532,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.542606659,0.58
mgtbind_4772,4772,2533,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.675216768,0.75
mgtbind_4773,4773,2533,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.703326911,0.78
mgtbind_4774,4774,2534,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.628383136,0.72
mgtbind_4775,4775,2534,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.704449081,0.78
mgtbind_4776,4776,2535,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.60893745,0.67
mgtbind_4777,4777,2535,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.55068022,0.62
mgtbind_4778,4778,2536,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.6451868,0.72
mgtbind_4779,4779,2536,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.654757134,0.73
mgtbind_4780,4780,2537,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.59199224,0.65
mgtbind_4781,4781,2537,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.515685615,0.56
mgtbind_4782,4782,2538,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.584818909,0.64
mgtbind_4783,4783,2538,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.591520989,0.64
mgtbind_4784,4784,2539,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.602615388,0.63
mgtbind_4785,4785,2539,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.604826814,0.65
mgtbind_4786,4786,2540,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.617057863,0.68
mgtbind_4787,4787,2540,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.602559869,0.66
mgtbind_4788,4788,2541,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.61303083,0.67
mgtbind_4789,4789,2541,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.584921997,0.64
mgtbind_4790,4790,2542,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.614948822,0.67
mgtbind_4791,4791,2542,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.622216362,0.68
mgtbind_4792,4792,2543,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.52165233,0.57
mgtbind_4793,4793,2543,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.499260282,0.54
mgtbind_4794,4794,2544,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.670031713,0.75
mgtbind_4795,4795,2544,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.684235923,0.76
mgtbind_4796,4796,2545,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.657826313,0.72
mgtbind_4797,4797,2545,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.642269292,0.7
mgtbind_4798,4798,2546,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.643344686,0.7
mgtbind_4799,4799,2546,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.648322408,0.7
mgtbind_4800,4800,2547,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.611906797,0.68
mgtbind_4801,4801,2547,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.604095955,0.66
mgtbind_4802,4802,2548,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.616733386,0.67
mgtbind_4803,4803,2548,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.512465708,0.54
mgtbind_4804,4804,2549,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.529159642,0.58
mgtbind_4805,4805,2549,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.504346063,0.52
mgtbind_4806,4806,2550,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.602355557,0.65
mgtbind_4807,4807,2550,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.619197672,0.68
mgtbind_4808,4808,2551,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.625222111,0.68
mgtbind_4809,4809,2551,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.618116576,0.68
mgtbind_4810,4810,2552,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.612640342,0.69
mgtbind_4811,4811,2552,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.616193592,0.67
mgtbind_4812,4812,2553,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.679731957,0.74
mgtbind_4813,4813,2553,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.686964391,0.76
mgtbind_4814,4814,2554,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.536649148,0.58
mgtbind_4815,4815,2554,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.523963604,0.56
mgtbind_4816,4816,2569,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.597142239,0.66
mgtbind_4817,4817,2569,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.604155927,0.66
mgtbind_4818,4818,2570,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.523751001,0.57
mgtbind_4819,4819,2570,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.461073269,0.51
mgtbind_4820,4820,2571,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.512116903,0.54
mgtbind_4821,4821,2571,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.49665532,0.51
mgtbind_4822,4822,2572,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.549860344,0.6
mgtbind_4823,4823,2572,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.465177357,0.52
mgtbind_4824,4824,2573,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.44400415,0.48
mgtbind_4825,4825,2573,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.442587193,0.48
mgtbind_4826,4826,2574,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.475496124,0.54
mgtbind_4827,4827,2574,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.448569373,0.51
mgtbind_4828,4828,2575,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.598122032,0.66
mgtbind_4829,4829,2575,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.595236733,0.65
mgtbind_4830,4830,2576,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.597051341,0.67
mgtbind_4831,4831,2576,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.576965668,0.65
mgtbind_4832,4832,2577,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.603717667,0.66
mgtbind_4833,4833,2577,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.598097583,0.66
mgtbind_4834,4834,2578,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.451004949,0.5
mgtbind_4835,4835,2578,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.446703458,0.5
mgtbind_4836,4836,2579,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.689667338,0.76
mgtbind_4837,4837,2579,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.682778891,0.77
mgtbind_4838,4838,2580,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.68774943,0.75
mgtbind_4839,4839,2580,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.706782362,0.78
mgtbind_4840,4840,2581,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.616070454,0.67
mgtbind_4841,4841,2581,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.619620096,0.68
mgtbind_4842,4842,2582,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.489133823,0.54
mgtbind_4843,4843,2582,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.468032145,0.51
mgtbind_4844,4844,2583,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.601300731,0.65
mgtbind_4845,4845,2583,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.526443876,0.56
mgtbind_4846,4846,2584,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.537549058,0.59
mgtbind_4847,4847,2584,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.510041301,0.55
mgtbind_4848,4848,2585,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.684819718,0.73
mgtbind_4849,4849,2585,KRAS,CYPA,354,1,1,3,2,heterodimerization-nondegradative,0.696305626,0.75
